Date,BTC,OIL,GOLD,SP500,VIX
2014-09-17,457.3340148925781,94.41999816894531,1234.4000244140625,2001.5699462890625,12.649999618530273
2014-09-18,424.44000244140625,93.06999969482422,1225.699951171875,2011.3599853515625,12.029999732971191
2014-09-19,394.7959899902344,92.41000366210938,1215.300048828125,2010.4000244140625,12.109999656677246
2014-09-20,408.90399169921875,,,,
2014-09-21,398.8210144042969,,,,
2014-09-22,402.1520080566406,91.5199966430664,1216.800048828125,1994.2900390625,13.6899995803833
2014-09-23,435.7909851074219,91.55999755859375,1221.0,1982.77001953125,14.930000305175781
2014-09-24,423.2049865722656,92.80000305175781,1218.5999755859375,1998.300048828125,13.270000457763672
2014-09-25,411.5740051269531,92.52999877929688,1221.199951171875,1965.989990234375,15.640000343322754
2014-09-26,404.42498779296875,93.54000091552734,1214.0999755859375,1982.8499755859375,14.850000381469727
2014-09-27,399.5199890136719,,,,
2014-09-28,377.1809997558594,,,,
2014-09-29,375.4670104980469,94.56999969482422,1217.5,1977.800048828125,15.979999542236328
2014-09-30,386.9440002441406,91.16000366210938,1210.5,1972.2900390625,16.309999465942383
2014-10-01,383.614990234375,90.7300033569336,1214.5999755859375,1946.1600341796875,16.709999084472656
2014-10-02,375.0719909667969,91.01000213623047,1214.199951171875,1946.1700439453125,16.15999984741211
2014-10-03,359.5119934082031,89.73999786376953,1192.199951171875,1967.9000244140625,14.550000190734863
2014-10-04,328.8659973144531,,,,
2014-10-05,320.510009765625,,,,
2014-10-06,330.0790100097656,90.33999633789062,1206.699951171875,1964.8199462890625,15.460000038146973
2014-10-07,336.18701171875,88.8499984741211,1211.699951171875,1935.0999755859375,17.200000762939453
2014-10-08,352.94000244140625,87.30999755859375,1205.300048828125,1968.8900146484375,15.109999656677246
2014-10-09,365.0260009765625,85.7699966430664,1224.5999755859375,1928.2099609375,18.760000228881836
2014-10-10,361.56201171875,85.81999969482422,1221.0,1906.1300048828125,21.239999771118164
2014-10-11,362.29901123046875,,,,
2014-10-12,378.54901123046875,,,,
2014-10-13,390.41400146484375,85.73999786376953,1229.300048828125,1874.739990234375,24.639999389648438
2014-10-14,400.8699951171875,81.83999633789062,1233.5999755859375,1877.699951171875,22.790000915527344
2014-10-15,394.77301025390625,81.77999877929688,1244.0999755859375,1862.489990234375,25.270000457763672
2014-10-16,382.5559997558594,82.69999694824219,1240.5,1862.760009765625,25.200000762939453
